post_id,filename,description,likes,comments,views
"1214602611867677358","2016-03-26_1214602611867677358.jpg","Congratulations! Earlobes on miss Kathleen done at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #girlswithpiercings #tragicempire #impactalbany","2","0","0"
"1217536110148874381","2016-03-30_1217536110148874381.jpg","Daith done at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #impactalbany #girlswithpiercings #tragicempire","3","0","0"
"1217537082992521400","2016-03-30_1217537082992521400.jpg","Nostril piercing with blue synthetic opal done at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #girlswithpiercings #impactalbany #tragicempire","3","0","0"
"1219135477972628127","2016-04-02_1219135477972628127.jpg","Middle helix (purple) done at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #tragicempire #girlswithpiercings #impactalbany","6","0","0"
"1219181646690022193","2016-04-02_1219181646690022193.jpg","Daith piercing done a t #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #tragicempire #impactalbany #girlswithpiercings","3","0","0"
"1219189391279419405","2016-04-02_1219189391279419405.jpg","Dermal done at #albanymodernbodyart by #piercing_by_gina #dermalanchor #publishedpiercer #professionalpiercings #tragicempire #girlswithpiercings #impactalbany","4","1","0"
"1219190200931086369","2016-04-02_1219190200931086369.jpg","Cartilage done at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #tragicempire #girlswithpiercings #impactalbany","7","1","0"
"1221841029471301901","2016-04-05_1221841029471301901.jpg","Industrial piercing done at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #impactalbany #anodized #girlswithpiercings #tragicempire","8","0","0"
"1224189294661497645","2016-04-09_1224189294661497645.jpg","Didn't do the piercing but upgraded her to gorgeous internally threaded synthetic opals. #albanymodernbodyart #piercing_by_gina #publishedpiercer #professionalpiercings #girlswithpiercings #tragicempire","8","0","0"
"1229116530804027711","2016-04-15_1229116530804027711.jpg","Nostril piercing done on @maryraiti done at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #impactalbany #tragicempire #girlswithpiercings","4","0","0"
"1229117855910490466","2016-04-15_1229117855910490466.jpg","Anti-tragus done on @maryraiti done at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #impactalbany #tragicempire #girlswithpiercings","5","0","0"
"1229955174372634936","2016-04-16_1229955174372634936.jpg","Tragus piercings done at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #impactalbany #tragicempire #girlswithpiercings","4","0","0"
"1232860978268500276","2016-04-20_1232860978268500276.jpg","Triple conch piercing done at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #impactalbany #tragicempire #girlswithpiercings","13","2","0"
"1234979503116283946","2016-04-23_1234979503116283946.jpg","Second lobe piercings done at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #tragicempire #impactalbany #girlswithpiercings","8","0","0"
"1243009951998309240","2016-05-04_1243009951998309240.jpg","Middle helix piercing done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #tragicempire #impactalbany #girlswithpiercings","7","0","0"
"1243011107243848601","2016-05-04_1243011107243848601.jpg","Helix piercing done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #tragicempire #impactalbany #girlswithpiercings","8","0","0"
"1247428421557056423","2016-05-11_1247428421557056423.jpg","Sternum dermal done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #impactalbany #tragicempire #girlswithpiercings","9","2","0"
"1249421582231826761","2016-05-13_1249421582231826761.jpg","Double helix done at #albanymodernbodyart by #piercing_by_gina #professionalpiercings #publishedpiercer #impactalbany #tragicempire #girlswithpiercings","10","0","0"
